0,1,2,3,4
17,25,30,37,44
5,17,25,30,44
17,25,30,41,44
7,17,25,30,44
17,25,30,31,44
17,25,28,30,44
5,17,25,30,37
17,25,30,37,41
7,17,25,30,37
17,25,30,31,37
17,25,28,30,37
5,17,25,30,41
5,7,17,25,30
5,17,25,30,31
5,17,25,28,30
7,17,25,30,41
17,25,30,31,41
17,25,28,30,41
7,17,25,30,31
7,17,25,28,30
17,25,28,30,31
5,17,30,37,44
17,30,37,41,44
7,17,30,37,44
17,30,31,37,44
17,28,30,37,44
5,17,30,41,44
5,7,17,30,44
5,17,30,31,44
5,17,28,30,44
7,17,30,41,44
17,30,31,41,44
17,28,30,41,44
7,17,30,31,44
7,17,28,30,44
17,28,30,31,44
5,17,30,37,41
5,7,17,30,37
5,17,30,31,37
5,17,28,30,37
7,17,30,37,41
17,30,31,37,41
17,28,30,37,41
7,17,30,31,37
7,17,28,30,37
17,28,30,31,37
5,7,17,30,41
5,17,30,31,41
5,17,28,30,41
5,7,17,30,31
5,7,17,28,30
5,17,28,30,31
7,17,30,31,41
7,17,28,30,41
17,28,30,31,41
7,17,28,30,31
5,17,25,37,44
17,25,37,41,44
7,17,25,37,44
17,25,31,37,44
17,25,28,37,44
5,17,25,41,44
5,7,17,25,44
5,17,25,31,44
5,17,25,28,44
7,17,25,41,44
17,25,31,41,44
17,25,28,41,44
7,17,25,31,44
7,17,25,28,44
17,25,28,31,44
5,17,25,37,41
5,7,17,25,37
5,17,25,31,37
5,17,25,28,37
7,17,25,37,41
17,25,31,37,41
17,25,28,37,41
7,17,25,31,37
7,17,25,28,37
17,25,28,31,37
5,7,17,25,41
5,17,25,31,41
5,17,25,28,41
5,7,17,25,31
5,7,17,25,28
5,17,25,28,31
7,17,25,31,41
7,17,25,28,41
17,25,28,31,41
7,17,25,28,31
5,17,37,41,44
5,7,17,37,44
5,17,31,37,44
5,17,28,37,44
7,17,37,41,44
17,31,37,41,44
17,28,37,41,44
7,17,31,37,44
7,17,28,37,44
17,28,31,37,44
5,7,17,41,44
5,17,31,41,44
5,17,28,41,44
5,7,17,31,44
5,7,17,28,44
5,17,28,31,44
7,17,31,41,44
7,17,28,41,44
17,28,31,41,44
7,17,28,31,44
5,7,17,37,41
5,17,31,37,41
5,17,28,37,41
5,7,17,31,37
5,7,17,28,37
5,17,28,31,37
7,17,31,37,41
7,17,28,37,41
17,28,31,37,41
7,17,28,31,37
5,7,17,31,41
5,7,17,28,41
5,17,28,31,41
5,7,17,28,31
7,17,28,31,41
5,25,30,37,44
25,30,37,41,44
7,25,30,37,44
25,30,31,37,44
25,28,30,37,44
5,25,30,41,44
5,7,25,30,44
5,25,30,31,44
5,25,28,30,44
7,25,30,41,44
25,30,31,41,44
25,28,30,41,44
7,25,30,31,44
7,25,28,30,44
25,28,30,31,44
5,25,30,37,41
5,7,25,30,37
5,25,30,31,37
5,25,28,30,37
7,25,30,37,41
25,30,31,37,41
25,28,30,37,41
7,25,30,31,37
7,25,28,30,37
25,28,30,31,37
5,7,25,30,41
5,25,30,31,41
5,25,28,30,41
5,7,25,30,31
5,7,25,28,30
5,25,28,30,31
7,25,30,31,41
7,25,28,30,41
25,28,30,31,41
7,25,28,30,31
5,30,37,41,44
5,7,30,37,44
5,30,31,37,44
5,28,30,37,44
7,30,37,41,44
30,31,37,41,44
28,30,37,41,44
7,30,31,37,44
7,28,30,37,44
28,30,31,37,44
5,7,30,41,44
5,30,31,41,44
5,28,30,41,44
5,7,30,31,44
5,7,28,30,44
5,28,30,31,44
7,30,31,41,44
7,28,30,41,44
28,30,31,41,44
7,28,30,31,44
5,7,30,37,41
5,30,31,37,41
5,28,30,37,41
5,7,30,31,37
5,7,28,30,37
5,28,30,31,37
7,30,31,37,41
7,28,30,37,41
28,30,31,37,41
7,28,30,31,37
5,7,30,31,41
5,7,28,30,41
5,28,30,31,41
5,7,28,30,31
7,28,30,31,41
5,25,37,41,44
5,7,25,37,44
5,25,31,37,44
5,25,28,37,44
7,25,37,41,44
25,31,37,41,44
25,28,37,41,44
7,25,31,37,44
7,25,28,37,44
25,28,31,37,44
5,7,25,41,44
5,25,31,41,44
5,25,28,41,44
5,7,25,31,44
5,7,25,28,44
5,25,28,31,44
7,25,31,41,44
7,25,28,41,44
25,28,31,41,44
7,25,28,31,44
5,7,25,37,41
5,25,31,37,41
5,25,28,37,41
5,7,25,31,37
5,7,25,28,37
5,25,28,31,37
7,25,31,37,41
7,25,28,37,41
25,28,31,37,41
7,25,28,31,37
5,7,25,31,41
5,7,25,28,41
5,25,28,31,41
5,7,25,28,31
7,25,28,31,41
5,7,37,41,44
5,31,37,41,44
5,28,37,41,44
5,7,31,37,44
5,7,28,37,44
5,28,31,37,44
7,31,37,41,44
7,28,37,41,44
28,31,37,41,44
7,28,31,37,44
5,7,31,41,44
5,7,28,41,44
5,28,31,41,44
5,7,28,31,44
7,28,31,41,44
5,7,31,37,41
5,7,28,37,41
5,28,31,37,41
5,7,28,31,37
7,28,31,37,41
5,7,28,31,41
